連番,氏名,氏名（カタカナ）,氏名（ローマ字）,性別,電話番号,メールアドレス,郵便番号,住所,,,,,生年月日,年齢,出身地,血液型
1,毛利信一,モウリシンイチ,MouriShinichi,男,0768279512,shinichimouri@juys.yoc,932-0813,富山県,小矢部市,野寺,4-10-19,,1981/07/15,39,鹿児島県,A
2,染谷伊都子,ソメヤイツコ,SomeyaItsuko,女,087032772,itsuko178@pqjgkzcixf.him,763-0041,香川県,丸亀市,西平山町,3-16,,1978/05/08,42,島根県,A
3,永田忠治,ナガタタダハル,NagataTadaharu,男,0253702336,Tadaharu_Nagata@udzqyacx.xre,942-0316,新潟県,上越市,浦川原区六日町,4-3,ロイヤルパレス浦川原区六日町301,1973/12/13,47,広島県,O
4,高坂凜,コウサカリン,KousakaRin,女,0795137817,rin06222@klhty.lrjp.cv,677-0024,兵庫県,西脇市,嶋,4-19,,1965/07/15,55,愛媛県,O
5,永山賢明,ナガヤマタテアキ,NagayamaTateaki,男,0278303202,tateaki_nagayama@fblr.suc,371-0833,群馬県,前橋市,光が丘町,3-5,,1972/07/24,48,山形県,A
6,川嶋杏奈,カワシマアンナ,KawashimaAmna,女,0970361017,akawashima@olxvp.xp,872-0471,大分県,宇佐市,院内町温見,3-19-2,,1996/08/26,24,福島県,A
7,藤村広,フジムラヒロシ,FujimuraHiroshi,男,0985674490,Hiroshi_Fujimura@qkzgp.wr,889-2155,宮崎県,宮崎市,学園木花台西,4-14-10,,1986/04/06,34,愛知県,O
8,坪井義人,ツボイヨシト,TsuboiYoshito,男,0276581105,yoshito2713@hhobdua.hr,375-0055,群馬県,藤岡市,白石,4-5,,1980/11/08,40,神奈川県,O
9,豊島深雪,トシマミユキ,ToshimaMiyuki,女,0533713800,tncai=xv=xkh=miyuki10056@lxbpev.jpy,430-0845,静岡県,浜松市南区,中田島町,3-4-9,,1973/06/19,47,大阪府,O
10,米田敏夫,ヨネダトシオ,YonedaToshio,男,0993393663,toshio759@bqecb.jwf.rr,899-4355,鹿児島県,霧島市,国分剣之宇都町,4-4-3,国分剣之宇都町ヒル212,1982/02/12,38,佐賀県,AB
11,須賀沙奈,スガサナ,SugaSana,女,0259740640,sana52189@kmnukt.jf,949-4317,新潟県,三島郡出雲崎町,吉川,3-5,吉川アパート211,1967/01/28,53,熊本県,AB
12,平田健次郎,ヒラタケンジロウ,HirataKenjirou,男,0289886909,a-gf=smkxkfkenjirou62476@scrwc.do,329-2755,栃木県,那須塩原市,西原町,3-5,タウン西原町109,1997/10/24,23,滋賀県,B
13,金井武,カネイタケシ,KaneiTakeshi,男,0984914482,takeshi57591@fzibqwmx.hob,881-0031,宮崎県,西都市,旭,1-17,旭タウン205,1969/09/19,51,高知県,B
14,西山春男,ニシヤマハルオ,NishiyamaHaruo,男,0857795897,onishiyama@edvmt.lfnr.qzb,680-0015,鳥取県,鳥取市,上町,4-2-9,,1968/08/01,52,埼玉県,B
